Activity,smoothing_type,rep_id,Metric,Score
Locomotion,HMM,3,Accuracy,0.818806682577566
Stationary,HMM,3,Precision,0.9140625
Stationary,HMM,3,Recall,0.75
Stationary,HMM,3,F1,0.823943661971831
Stationary,HMM,3,Accuracy,0.859848484848485
TreeMovement,HMM,3,Precision,0.85632183908046
TreeMovement,HMM,3,Recall,0.914110429447853
TreeMovement,HMM,3,F1,0.884272997032641
TreeMovement,HMM,3,Accuracy,0.921942855173365
Macro-Average,HMM,3,Precision,0.844999930923961
Macro-Average,HMM,3,Recall,0.813527607361963
Macro-Average,HMM,3,F1,0.809485622182575
Macro-Average,HMM,3,Accuracy,0.876894732380164
Foraging,Mode,1,Precision,0.864077669902913
Foraging,Mode,1,Recall,0.89
Foraging,Mode,1,F1,0.876847290640394
Foraging,Mode,1,Accuracy,0.932364620938628
Locomotion,Mode,1,Precision,0.967741935483871
Locomotion,Mode,1,Recall,0.6
Locomotion,Mode,1,F1,0.740740740740741
Locomotion,Mode,1,Accuracy,0.798194945848375
Stationary,Mode,1,Precision,0.992
Stationary,Mode,1,Recall,0.48062015503876
Stationary,Mode,1,F1,0.647519582245431
Stationary,Mode,1,Accuracy,0.739047451256754
TreeMovement,Mode,1,Precision,0.516483516483517
TreeMovement,Mode,1,Recall,0.959183673469388
TreeMovement,Mode,1,F1,0.671428571428572
TreeMovement,Mode,1,Accuracy,0.787452098743428
Macro-Average,Mode,1,Precision,0.835075780467575
Macro-Average,Mode,1,Recall,0.732450957127037
Macro-Average,Mode,1,F1,0.734134046263784
Macro-Average,Mode,1,Accuracy,0.814264779196796
Foraging,Mode,2,Precision,0.808290155440415
Foraging,Mode,2,Recall,0.390977443609023
Foraging,Mode,2,F1,0.527027027027027
Foraging,Mode,2,Accuracy,0.66828283945157
Locomotion,Mode,2,Precision,0.887417218543046
Locomotion,Mode,2,Recall,0.943661971830986
Locomotion,Mode,2,F1,0.914675767918089
Locomotion,Mode,2,Accuracy,0.962759481112932
Stationary,Mode,2,Precision,0.477064220183486
