ID,Time,X,Y,Z,Activity
Angelina,2023-05-16T13:01:17.270398Z,0.171997,-0.9198,0.463379,Stationary
Angelina,2023-05-16T13:01:17.270398Z,0.182739,-0.927979,0.465454,Stationary
Angelina,2023-05-16T13:01:17.270398Z,0.183472,-0.906738,0.464233,Stationary
Angelina,2023-05-16T13:01:17.270398Z,0.187134,-0.912354,0.461792,Stationary
Angelina,2023-05-16T13:01:17.356799Z,0.168701,-0.91394,0.457275,Stationary
Angelina,2023-05-16T13:01:17.356799Z,0.17395,-0.924561,0.456299,Stationary
Angelina,2023-05-16T13:01:17.356799Z,0.178833,-0.920776,0.452881,Stationary
Angelina,2023-05-16T13:01:17.356799Z,0.183228,-0.904663,0.451904,Stationary
Angelina,2023-05-16T13:01:17.356799Z,0.184814,-0.930786,0.450439,Stationary
Angelina,2023-05-16T13:01:17.443200Z,0.177246,-0.918579,0.447876,Stationary
Angelina,2023-05-16T13:01:17.443200Z,0.179199,-0.925781,0.454468,Stationary
Angelina,2023-05-16T13:01:17.443200Z,0.180054,-0.928711,0.452026,Stationary
Angelina,2023-05-16T13:01:17.443200Z,0.188599,-0.913818,0.450806,Stationary
Angelina,2023-05-16T13:01:17.529600Z,0.161011,-0.920044,0.459961,Stationary
Angelina,2023-05-16T13:01:17.529600Z,0.166748,-0.922729,0.456909,Stationary
Angelina,2023-05-16T13:01:17.529600Z,0.167114,-0.925537,0.460083,Stationary
Angelina,2023-05-16T13:01:17.529600Z,0.173096,-0.923462,0.444946,Stationary
Angelina,2023-05-16T13:01:17.616001Z,0.172119,-0.926392,0.461182,Stationary
Angelina,2023-05-16T13:01:17.616001Z,0.183716,-0.916504,0.461304,Stationary
Angelina,2023-05-16T13:01:17.616001Z,0.186401,-0.900269,0.467285,Stationary
Angelina,2023-05-16T13:01:17.616001Z,0.193848,-0.89917,0.470337,Stationary
Angelina,2023-05-16T13:01:17.702402Z,0.1698,-0.930176,0.479614,Stationary
Angelina,2023-05-16T13:01:17.702402Z,0.17334,-0.929932,0.474976,Stationary
Angelina,2023-05-16T13:01:17.702402Z,0.182129,-0.922241,0.461182,Stationary
Angelina,2023-05-16T13:01:17.702402Z,0.184326,-0.903564,0.473145,Stationary
Angelina,2023-05-16T13:01:17.702402Z,0.185059,-0.908447,0.471802,Stationary
Angelina,2023-05-16T13:01:17.788802Z,0.176392,-0.914063,0.455322,Stationary
Angelina,2023-05-16T13:01:17.788802Z,0.177124,-0.918213,0.454712,Stationary
Angelina,2023-05-16T13:01:17.788802Z,0.179321,-0.922241,0.466064,Stationary
Angelina,2023-05-16T13:01:17.788802Z,0.181885,-0.91394,0.47168,Stationary
Angelina,2023-05-16T13:01:17.875203Z,0.155884,-0.901001,0.497314,Stationary
Angelina,2023-05-16T13:01:17.875203Z,0.158569,-0.921753,0.462769,Stationary
Angelina,2023-05-16T13:01:17.875203Z,0.170044,-0.941895,0.457397,Stationary
Angelina,2023-05-16T13:01:17.875203Z,0.190308,-0.897339,0.480103,Stationary
Angelina,2023-05-16T13:01:17.875203Z,0.2052,-0.919434,0.458862,Stationary
Angelina,2023-05-16T13:01:17.961604Z,0.164551,-0.891357,0.513306,Stationary
Angelina,2023-05-16T13:01:17.961604Z,0.206543,-0.854736,0.505371,Stationary
Angelina,2023-05-16T13:01:17.961604Z,0.239868,-0.858154,0.553101,Stationary
Angelina,2023-05-16T13:01:17.961604Z,0.245605,-0.843994,0.523315,Stationary
Angelina,2023-05-16T13:01:18.048004Z,0.199951,-0.87854,0.533081,Stationary
Angelina,2023-05-16T13:01:18.048004Z,0.212524,-0.922607,0.484131,Stationary
Angelina,2023-05-16T13:01:18.048004Z,0.2229,-0.881104,0.525146,Stationary
Angelina,2023-05-16T13:01:18.048004Z,0.223755,-0.863281,0.55603,Stationary
Angelina,2023-05-16T13:01:18.048004Z,0.234131,-0.89624,0.50354,Stationary
Angelina,2023-05-16T13:01:18.134405Z,0.19165,-0.925903,0.482544,Stationary
Angelina,2023-05-16T13:01:18.134405Z,0.192627,-0.89917,0.477051,Stationary
Angelina,2023-05-16T13:01:18.134405Z,0.203003,-0.876831,0.463379,Stationary
Angelina,2023-05-16T13:01:18.134405Z,0.209351,-0.891968,0.456055,Stationary
Angelina,2023-05-16T13:01:18.220795Z,0.198608,-0.903442,0.467041,Stationary
Angelina,2023-05-16T13:01:18.220795Z,0.209595,-0.885742,0.472656,Stationary
Angelina,2023-05-16T13:01:18.220795Z,0.239746,-0.884888,0.46936,Stationary
Angelina,2023-05-16T13:01:18.220795Z,0.240967,-0.901855,0.471313,Stationary
Angelina,2023-05-16T13:01:18.307196Z,0.232666,-0.897339,0.487915,Stationary
Angelina,2023-05-16T13:01:18.307196Z,0.233276,-0.888428,0.480591,Stationary
Angelina,2023-05-16T13:01:18.307196Z,0.244629,-0.894165,0.481445,Stationary
Angelina,2023-05-16T13:01:18.307196Z,0.249023,-0.899902,0.497192,Stationary
Angelina,2023-05-16T13:01:18.307196Z,0.255859,-0.870728,0.478516,Stationary
Angelina,2023-05-16T13:01:18.393597Z,0.239746,-0.88269,0.497559,Stationary
Angelina,2023-05-16T13:01:18.393597Z,0.256348,-0.883057,0.488647,Stationary
Angelina,2023-05-16T13:01:18.393597Z,0.262939,-0.878906,0.494995,Stationary
Angelina,2023-05-16T13:01:18.393597Z,0.264404,-0.878784,0.486084,Stationary
Angelina,2023-05-16T13:01:18.479997Z,0.225342,-0.893555,0.485352,Stationary
